codigo_sucursal,nombre_sucursal,No_telefono,horario_atencion,e_mail,direccion
1527,chevrolet automotriz celaya,4612524767,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",ger.ventas@chevroletcelaya.com,calle subterránea miguel hidalgo numero 15 colonia centro guanajuato guanajuato 36000
1528,chevrolet del parque,4771224826,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",alberto.vazquez@chevroletdelparque.com.mx,avenida universidad numero 220 colonia san javier leon guanajuato 37160
1529,chevrolet celaya centro,4611232112,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",ignaciomacias@gmcelaya.com,calle allende numero 45 colonia centro san miguel de allende guanajuato 37700
1530,chevrolet silao,4772500956,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",flotillas@superautossilao.com.mx,carretera panamericana kilometro 5 sin numero irapuato guanajuato 36640
1531,chevrolet bajio león sur,4773258872,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",tdiosdado@dalsa.com.mx,calle mina numero 78 colonia las flores celaya guanajuato 38010
1532,chevrolet excelencia cuautitlan izcalli,7731125009,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",comer.ean@grupoautofin.mx,avenida tepalcapa numero 212 colonia san cristobal ecatepec estado de mexico 55070
1533,chevrolet pasion automotriz,4611232112,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",ignaciomacias@gmcelaya.com,calle 5 de mayo sin numero colonia la paz estado de mexico 56400
1534,chevrolet surman ecatepec,5634287218,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",luis.macias@surman.com,boulevard solidaridad las torres numero 890 colonia rinconada ecatepec estado de mexico 55235
1535,chevrolet tollocan,7222453322,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",gmquiroz@grupotollocan.com,carretera federal mexico pachuca kilometro 23 sin numero colonia los reyes estado de mexico 56450
1536,chevrolet kasa valle dorado,5543532861,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",jramirez@solvalledorado.com,avenida adolfo lopez mateos numero 350 colonia centro naucalpan estado de mexico 53000
1537,chevy san carlos,7223236717,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",flotillas@chevysancarlos.com.mx,calle oriente 45 numero 102 colonia nueva atzacoalco tultitlan estado de mexico 54968
1538,chevrolet satelite,5518012463,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",direccion.chevrolet@ismoauto.com,camino real de toluca numero 120 colonia san sebastian malinalco estado de mexico 52440
1539,chevrolet solana colima,3311179008,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",jaime.gonzalez@carsol.mx,calle libertad numero 89 colonia centro colima colima 28000
1540,chevrolet surman lagun,8712116316,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",alejandra.alcantar@surman.com,avenida universidad no 345 colonia buenavista saltillo coahuila 25000
1541,chevrolet ramos,8443003424,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",mario.flores@surman.com,calle 16 de septiembre no 78 colonia centro torreon coahuila 27000
1542,chevrolet piedras negras,8787913939,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",cborboa@gruporio.mx,boulevard independencia sin numero colonia las flores monclova coahuila 25700
1543,chevrolet americas motors,5577908409,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",viridianaestrada@americasgm.com.mx,avenida insurgentes sur numero 123 colonia roma ciudad de mexico 06700
1544,chevrolet angar azcapotzalco,5551654285,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",karina.alvarez@grupoandrade.com.mx,calle durango numero 456 colonia condesa ciudad de mexico 06140
1545,chevrolet car one tlalpan,5530456244,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",mdiaz@carone.com.mx,boulevard manuel avila camacho numero 789 colonia lomas de sotelo ciudad de mexico 11200
1546,chevrolet vallejo,5543293392,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",rvazquez@chevalvallejo.com.mx,paseo de la reforma numero 234 colonia juarez ciudad de mexico 06600
1547,chevrolet excelencia cuajimalpa,5521123788,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",lcarrillo.eac@grupoautofin.com,avenida coyoacan numero 567 colonia del valle ciudad de mexico 03100
1548,chevrolet insurgentes sur,7151442395,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",239gmfleet@chevroletinsurgentes.com.mx,calle xalapa numero 89 colonia napoles ciudad de mexico 03810
1549,chevrolet iztacalco,5533703025,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",236flo@chevroletiztacalco.com.mx,calzada de tlalpan numero 345 colonia portales ciudad de mexico 03300
1550,chevrolet tlahuac,5533344947,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",247gmfleets1@chevrolet-tlahuac.mx,avenida revolucion numero 101 colonia tacubaya ciudad de mexico 11870
1551,chevrolet aeropuerto cdmx,5550082885,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",flotillas@abamex-chevrolet.com.mx,calle allende numero 78 colonia centro ciudad de mexico 06000
1552,chevrolet el trebol ermita,5510403979,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",flotillas@eltreboltexcoco.com.mx,avenida insurgentes norte numero 321 colonia industrial ciudad de mexico 07300
1553,chevrolet taxquena,5561756708,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",gerente.flotillas@gmtaxquena.com.mx,calle florencia numero 210 colonia juarez ciudad de mexico 06600
1554,chevrolet toro,6142395700,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",acarreon@chevrolettoro.com.mx,avenida tecnologico numero 150 colonia universitario chihuahua chihuahua 31210
1555,chevrolet farrera tuxtla,9211271598,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",gteventas.chevrolet@gfarrera.com.mx,calle central numero 55 colonia el retazo tuxtla gutierrez chiapas 29000
1556,chevrolet tijuana,6642067634,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",jasanchez@gmtijuana.com,calle madero numero 320 colonia centro mexicali baja california norte 21000
1557,chevrolet las hadas aguascalientes,4499112969,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",fgonzalez@grupoherreraags.com.mx,calle zaragoza numero 150 colonia centro aguascalientes aguascalientes 20000
